Check_in,Rent
2020-01,111900
2020-02,37400
2020-03,13300
2020-04,18400
2020-05,11600
2020-06,30300
2020-07,46500
2020-08,129200
2020-09,133000
2020-10,29800
2020-11,41500
2020-12,126700
2021-01,96900
2021-02,30900
2021-03,49500
2021-04,68000
2021-05,25500
2021-06,35300
2021-07,59800
2021-08,99900
2021-09,86500
2021-10,35000
2021-11,30600
2021-12,110100
2022-01,101500
2022-02,32200
2022-03,54300
2022-04,20000
2022-05,40800
2022-06,48600
2022-07,57500
2022-08,137300
2022-09,138800
2022-10,22900
2022-11,30500
2022-12,142000
2023-01,123800
2023-02,14000
2023-03,40300
2023-04,51900
2023-05,30700
2023-06,23800
2023-07,32500
2023-08,141300
2023-09,122300
2023-10,50100
2023-11,34400
2023-12,94400




























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































